"estado","cidade","regiao","preco_medio"
"rs","contagem","vila belem","255000.00"
"sp","guarulhos","jardim sao luis","200000.00"
"rs","sao leopoldo","rio dos sinos","248395.59"
"rs","porto alegre","protasio alves","229600.00"
"rj","niteroi","itaipu","684750.00"
"mg","belo horizonte","bonsucesso","150000.00"
"sp","osasco","continental","640250.00"
"sp","campinas","jardim amazonas","190000.00"
"sp","sao paulo","vila verde","300000.00"
"mg","belo horizonte","padre eustaquio","416500.00"
"rs","contagem","riacho das pedras","233750.00"
"mg","belo horizonte","carmo","545000.00"
"sp","guarulhos","jardim sao paulo","320000.00"
"sp","sao paulo","vila liviero","235000.00"
"rs","porto alegre","jardim itu sabara","210000.00"
"mg","belo horizonte","grajau","492500.00"
"mg","belo horizonte","milionarios","160000.00"
"mg","belo horizonte","paqueta","277250.00"
"sp","novo hamburgo","canudos","237588.17"
"rj","rio de janeiro","madureira","213987.50"
"sp","guarulhos","jardim odete","240000.00"
"sp","sao bernardo do campo","baeta neves","494944.44"
"mg","belo horizonte","copacabana","187500.00"
"sp","sao bernardo do campo","pauliceia","283750.00"
"rs","contagem","tres barras","392727.27"
"sp","sao paulo","brooklin","2600000.00"
"mg","belo horizonte","castelo","452000.00"
"sp","campinas","sao bernardo","340000.00"
"sp","campinas","parque brasilia","220000.00"
"sp","guarulhos","jardim aida","250000.00"
"sp","sao bernardo do campo","taboao","220000.00"
"sp","guarulhos","jardim santa mena","728300.00"
"sp","guarulhos","jardim paraventi","508333.33"
"sp","osasco","santa maria","284999.33"
"sp","campinas","conjunto residencial parque bandeirantes","200000.00"
"sp","guarulhos","jardim zaira","686666.67"
"sp","sao paulo","liberdade","306250.00"
"mg","belo horizonte","santo agostinho","696000.00"
"rs","sao leopoldo","scharlau","363592.31"
"sp","sao bernardo do campo","dos casa","286000.00"
"sp","osasco","pestana","636666.67"
"sp","sao paulo","vila regina","210000.00"
"mg","belo horizonte","nova vista","347500.00"
"sp","campinas","vila dutra","295000.00"
"sp","campinas","jardim novo campos eliseos","493333.33"
"sp","sao bernardo do campo","vila goncalves","343250.00"
"rj","rio de janeiro","taquara","270272.73"
"rs","belo horizonte","conj. california","440000.00"
"sp","sao leopoldo","sao miguel","160000.00"
"rs","porto alegre","cidade baixa","228750.00"
"sp","sao paulo","conjunto residencial jose bonifacio","212333.33"
"mg","belo horizonte","santa efigenia","490000.00"
"sp","sao paulo","santa ifigenia","310000.00"
"sp","guarulhos","jardim imperador","350000.00"
"rs","belo horizonte","hawai justinopolis","500000.00"
"sp","sao bernardo do campo","ferrazopolis","265234.71"
"sp","sao paulo","jardim sao luis","257500.00"
"rs","belo horizonte","diamante","250000.00"
"sp","sao bernardo do campo","rudge ramos","470000.00"
"sp","sao bernardo do campo","jardim vera cruz","410000.00"
"sp","sao paulo","bela vista","457863.64"
"sp","sao bernardo do campo","jardim copacabana","265000.00"
"rs","porto alegre","vila conceicao","452500.00"
"rj","niteroi","camboinhas","1240000.00"
"mg","belo horizonte","vila paris","750000.00"
"sp","campinas","jardim boa esperanca","670000.00"
"sp","osasco","adalgisa","1294500.00"
"rs","contagem","europa","454500.00"
"rs","canoas","guajuviras","225988.89"
"sp","sao bernardo do campo","botujuru","280000.00"
"sp","campinas","parque taquaral","575000.00"
"rj","niteroi","sao lourenco","295000.00"
"rs","porto alegre","santo antonio","249375.00"
