"estado","cidade","regiao","preco_medio"
"sp","guarulhos","vila miriam","350000.00"
"sp","sao paulo","vila ema","560000.00"
"sp","campinas","parque imperador","550000.00"
"rs","sao leopoldo","feitoria","244693.84"
"sp","sao paulo","parada xv de novembro","245000.00"
"sp","sao paulo","sacoma","301250.00"
"mg","belo horizonte","aparecida","290000.00"
"rs","belo horizonte","vila magnesita","175000.00"
"sp","novo hamburgo","ideal","378500.00"
"rs","porto alegre","mario quintana","417500.00"
"sp","guarulhos","parque continental ii","780000.00"
"rs","porto alegre","auxiliadora","680000.00"
"mg","belo horizonte","betania","560000.00"
"mg","belo horizonte","madre gertrudes","262000.00"
"rs","canoas","igara","313144.68"
"sp","sao bernardo do campo","vila alves dias","455359.50"
"sp","sao paulo","vila prudente","278428.57"
"rs","belo horizonte","coqueiros","457500.00"
"rs","canoas","marechal rondon","388578.95"
"sp","sao paulo","cidade moncoes","1350000.00"
"mg","belo horizonte","salgado filho","395000.00"
"rs","contagem","morro do confisco","260500.00"
"sp","novo hamburgo","primavera","261666.67"
"rj","niteroi","pendotiba","290000.00"
"sp","campinas","jardim aero continental","450000.00"
"rs","canoas","estancia velha","287644.44"
"sp","sao paulo","vila moinho velho","300000.00"
"mg","belo horizonte","barro preto","360000.00"
"sp","sao paulo","belenzinho","342500.00"
"sp","sao bernardo do campo","independencia","342500.00"
"sp","sao paulo","vila dom pedro i","760000.00"
"sp","campinas","jardim garcia","231666.67"
"sp","campinas","jardim nova europa","339278.50"
"rj","niteroi","pe pequeno","385000.00"
"rs","contagem","novo eldorado","387800.00"
"sp","campinas","vila lidia","175000.00"
"rj","rio de janeiro","botafogo","159000.00"
"rs","porto alegre","santana","380000.00"
"sp","campinas","cidade universitaria","660000.00"
"sp","sao paulo","vila zelina","550000.00"
"rs","sao leopoldo","sao joao batista","145000.00"
"rj","niteroi","tenente jardim","290000.00"
"rs","belo horizonte","alipio de melo","650000.00"
"rs","sao leopoldo","cristo rei","247500.00"
"rj","rio de janeiro","recreio dos bandeirantes","400000.00"
"sp","sao bernardo do campo","jardim nova petropolis","650000.00"
"sp","guarulhos","parque cecap","333444.44"
"sp","novo hamburgo","operario","289666.67"
"sp","osasco","bela vista","536842.11"
"mg","belo horizonte","santa cruz","556666.67"
"sp","campinas","jardim paraiso de viracopos","275000.00"
"rs","belo horizonte","california","203333.33"
"sp","campinas","bosque","338500.00"
"mg","belo horizonte","jardim guanabara","292500.00"
"sp","sao paulo","jardim paulista","750000.00"
"rs","contagem","santa maria","264900.00"
"rs","contagem","candida ferreira","205000.00"
"mg","belo horizonte","colegio batista","444285.71"
"rj","rio de janeiro","meier","243333.33"
"rs","porto alegre","petropolis","340804.33"
"sp","campinas","jardim campos eliseos","254000.00"
"sp","campinas","parque das cachoeiras","290000.00"
"sp","sao paulo","jardim ester yolanda","600000.00"
"sp","sao bernardo do campo","vila jerusalem","271666.67"
"mg","belo horizonte","conj. california","440000.00"
"sp","sao paulo","higienopolis","330000.00"
"rs","contagem","empresarial do mandu","240000.00"
"sp","sao paulo","sitio da figueira","360000.00"
"sp","sao bernardo do campo","parque sao jose","650000.00"
"mg","belo horizonte","centro","339333.33"
"sp","guarulhos","jardim sao roberto","400000.00"
"mg","belo horizonte","vila copacabana","390000.00"
"sp","guarulhos","vila santo antonio","634500.00"
"sp","campinas","jardim carlos lourenco","495000.00"
"rs","belo horizonte","madre gertrudes","356750.00"
"sp","sao paulo","vila santa clara","455500.00"
"rs","contagem","arpoador","175000.00"
"mg","belo horizonte","vila magnesita","170000.00"
"sp","sao bernardo do campo","vila alvinopolis","760000.00"
"sp","campinas","jardim chapadao","630000.00"
"rs","porto alegre","jardim carvalho","386666.67"
"sp","novo hamburgo","guarani","367250.00"
"rj","rio de janeiro","quintino bocaiuva","184481.50"
"rs","contagem","chacara cotia","302500.00"
"sp","campinas","jardim alto da barra","375000.00"
"rj","niteroi","muriqui","550000.00"
"mg","belo horizonte","sao salvador","245000.00"
"mg","belo horizonte","dona clara","500000.00"
"sp","sao bernardo do campo","nova petropolis ","260000.00"
"sp","campinas","chacaras campos eliseos","640000.00"
"sp","sao paulo","itaim bibi","2700000.00"
"rj","rio de janeiro","penha","230000.00"
"rj","niteroi","engenhoca","247900.00"
"sp","sao bernardo do campo","planalto","413076.92"
"sp","guarulhos","jardim santa barbara","250000.00"
"rs","contagem","alvorada","437615.38"
"sp","sao bernardo do campo","vila ferreira","200000.00"
"sp","campinas","vila saturnia","335000.00"
"rs","porto alegre","guaruja","580000.00"
"sp","sao bernardo do campo","parque terra nova","526666.67"
"sp","guarulhos","vila lanzara","806180.00"
"rs","contagem","ressaca","530000.00"
"rj","rio de janeiro","vargem pequena","356666.67"
"rs","contagem","chacara contagem","222500.00"
"sp","sao paulo","vila das merces","395000.00"
"mg","belo horizonte","cinquentenario","450000.00"
"mg","belo horizonte","silveira","390000.00"
"mg","belo horizonte","camargos","213000.00"
"sp","sao bernardo do campo","demarchi","288800.00"
"sp","guarulhos","vila sao joao batista","516666.67"
"sp","sao paulo","sao lucas","579000.00"
"sp","guarulhos","jardim paraiso","260000.00"
"rs","porto alegre","vila ipiranga","430000.00"
"sp","sao paulo","planalto paulista","780000.00"
"sp","guarulhos","vila das palmeiras","377500.00"
"rs","sao leopoldo","santos dumont","178606.06"
"rj","niteroi","barreto","310006.55"
"sp","sao paulo","jardim vergueiro sacoma","270000.00"
"sp","sao bernardo do campo","vila sao silverio","400000.00"
"sp","guarulhos","jardim testae","345000.00"
"sp","sao bernardo do campo","vila alcantara","275000.00"
"rs","contagem","sta cruz ind","650000.00"
"sp","sao bernardo do campo","vila cruzeiro","270000.00"
"sp","sao paulo","alto da mooca","643333.33"
"sp","guarulhos","vila santa maria","530000.00"
"sp","sao bernardo do campo","jordanopolis","255000.00"
"sp","sao paulo","parque da mooca","499825.00"
"rs","canoas","harmonia","348136.36"
"rj","rio de janeiro","engenho da rainha","197500.00"
"rs","contagem","chacaras california","216533.33"
"mg","belo horizonte","monte azul","175000.00"
"sp","sao bernardo do campo","parque espacial","272000.00"
"rj","rio de janeiro","iraja","173300.00"
"rs","sao leopoldo","vicentina","161000.00"
"rj","rio de janeiro","pechincha","254966.10"
"rs","contagem","cabral","361900.00"
"rs","porto alegre","praia de belas","202400.00"
"sp","guarulhos","cocaia","346666.67"
"mg","belo horizonte","jardim leblon","192500.00"
"mg","belo horizonte","santa branca","462500.00"
"rs","sao leopoldo","sao jose","276666.67"
"mg","belo horizonte","gutierrez","545555.56"
"sp","sao paulo","indianopolis","1593000.00"
"rs","porto alegre","vila nova","307996.43"
"sp","sao bernardo do campo","santa terezinha","272088.89"
"sp","guarulhos","vila galvao","641500.00"
"sp","sao paulo","quarta parada","512500.00"
"sp","campinas","vila itapura","502000.00"
"sp","sao paulo","republica","292950.00"
"sp","novo hamburgo","rondonia","242354.17"
"sp","sao bernardo do campo","jardim portugal","635000.00"
"sp","novo hamburgo","rincao","372500.00"
"sp","novo hamburgo","patria nova","381142.86"
"sp","osasco","condominio amazonas","330000.00"
"sp","osasco","vila yolanda","406555.56"
"sp","sao paulo","parque jabaquara","250000.00"
"rs","sao leopoldo","fiao","370500.00"
"sp","campinas","vila joaquim inacio","180000.00"
"rs","porto alegre","rubem berta","204800.00"
"rj","niteroi","icarai","655918.33"
"mg","belo horizonte","uniao","479500.00"
"rs","canoas","rio branco","271698.14"
"sp","guarulhos","vila ester","280000.00"
"mg","belo horizonte","aarao reis","275000.00"
"sp","campinas","vila industrial campinas","295000.00"
"mg","belo horizonte","sao cristovao","150000.00"
"rj","rio de janeiro","jacarepagua","290462.38"
"sp","sao paulo","sao joao climaco","330000.00"
"sp","sao paulo","jardim sao francisco zona leste","200000.00"
"mg","belo horizonte","santa lucia","589000.00"
"rj","niteroi","sape","500000.00"
"sp","guarulhos","jardim iporanga","294000.00"
"mg","belo horizonte","manacas","309950.00"
"rs","contagem","vila panama","256000.00"
"sp","novo hamburgo","rio branco","264125.00"
"rs","contagem","parque xangri-la","311600.00"
"rs","porto alegre","centro historico","184900.00"
"rs","belo horizonte","sao salvador","245000.00"
"rj","niteroi","santa rosa","433115.38"
"sp","guarulhos","jardim sao judas tadeu","285888.89"
"sp","sao bernardo do campo","jardim valdibia","296666.67"
"sp","sao paulo","vila moraes","350000.00"
"sp","sao paulo","vila oratorio","425000.00"
"mg","belo horizonte","santo andre","387500.00"
"rs","porto alegre","rio branco","500000.00"
"rs","contagem","tijuca","880000.00"
"rs","contagem","lucio de abreu","300000.00"
"sp","sao leopoldo","santos dumont","189266.67"
"sp","sao bernardo do campo","vila tereza","745000.00"
"mg","belo horizonte","sao cristovao ","220000.00"
"sp","guarulhos","vila zanardi","355000.00"
"mg","belo horizonte","california","200000.00"
"sp","guarulhos","vila florida","367500.00"
"rs","betim","jardim alterosa","320000.00"
"sp","campinas","jardim das bandeiras","219250.00"
"sp","campinas","jardim sao gabriel","245000.00"
"sp","campinas","jardim miranda","230000.00"
"rs","porto alegre","santa rosa de lima","290000.00"
"rj","niteroi","sao francisco","799000.00"
"sp","sao paulo","paraiso","2000000.00"
"mg","belo horizonte","alto caicaras","436500.00"
