"estado","cidade","regiao","total_imoveis"
"sp","guarulhos","vila ester","2"
"mg","belo horizonte","aarao reis","2"
"rj","rio de janeiro","andarai","2"
"rj","niteroi","sao lourenco","2"
"sp","campinas","parque taquaral","2"
"rj","rio de janeiro"," vargem pequena","2"
"mg","belo horizonte","sao joao batista venda nova","2"
"sp","sao bernardo do campo","botujuru","2"
"mg","belo horizonte","sao cristovao","2"
"rs","contagem","monte castelo","2"
"sp","guarulhos","jardim alice","2"
"sp","campinas","jardim boa esperanca","2"
"rs","contagem","vera cruz","2"
"rj","rio de janeiro","todos os santos","2"
"mg","belo horizonte","vila paris","2"
"sp","sao paulo","sao joao climaco","2"
"sp","guarulhos","jardim maia","2"
"rj","rio de janeiro","barra olimpica","2"
"mg","belo horizonte","fernao dias","2"
"sp","sao paulo","morumbi","2"
"sp","sao bernardo do campo","jardim copacabana","2"
"rj","niteroi","sape","2"
"rs","contagem","kennedy","2"
"sp","sao bernardo do campo","jardim vera cruz","2"
"sp","guarulhos","jardim moreira","2"
"rs","belo horizonte","diamante","2"
"rs","belo horizonte","hawai justinopolis","2"
"sp","sao paulo","conjunto habitacional padre manoel da nobrega","2"
"sp","sao bernardo do campo","jardim cantareira","2"
"sp","guarulhos","jardim imperador","2"
"sp","sao bernardo do campo","vila olga","2"
"sp","sao paulo","jardim aurora zona leste","2"
"sp","sao paulo","vila re","2"
"sp","sao paulo","santa ifigenia","2"
"rj","rio de janeiro","sao francisco xavier","2"
"mg","belo horizonte","urca","2"
"mg","belo horizonte","venda nova","2"
"rs","sao leopoldo","santos dumontt","2"
"mg","belo horizonte","nova gameleira","2"
"sp","sao leopoldo","sao miguel","2"
"sp","campinas","jardim anton von zuben","2"
"mg","belo horizonte","cidade jardim","2"
"rs","contagem","california","2"
"rs","belo horizonte","conj. california","2"
"sp","sao paulo","jardim santa emilia","2"
"sp","sao paulo","jardim da gloria","2"
"sp","campinas","jardim pacaembu","2"
"sp","campinas","vila padre manoel de nobrega","2"
"sp","campinas","vila dutra","2"
"sp","sao paulo","vila regina","2"
"mg","belo horizonte","santo agostinho","2"
"sp","campinas","vila trinta e um de marco","2"
"sp","campinas","jardim dos oliveiras","2"
"sp","campinas","conjunto residencial parque bandeirantes","2"
"sp","sao bernardo do campo","taboao","2"
"sp","guarulhos","jardim tranquilidade","2"
"sp","guarulhos","vila leonor","2"
"sp","guarulhos","jardim almeida prado","2"
"sp","guarulhos","jardim aida","2"
"sp","campinas","loteamento parque sao martinho","2"
"sp","sao paulo","conjunto habitacional teotonio vilela","2"
"rj","niteroi","venda da cruz","2"
"sp","sao paulo","jardim popular","2"
"sp","guarulhos","vila milton","2"
"sp","campinas","cidade jardim","2"
"sp","sao paulo","vila sonia","2"
"mg","belo horizonte","estrela do oriente","2"
"sp","campinas","jardim do trevo","2"
"mg","belo horizonte","darcy vargas","2"
"sp","campinas","parque brasilia","2"
"rs","porto alegre","costa e silva","2"
"sp","sao paulo","brooklin","2"
"sp","campinas","jardim sao fernando","2"
"rs","contagem"," industrial","2"
"sp","sao paulo","jardim ibitirama","2"
"mg","belo horizonte","milionarios","2"
"rs","porto alegre","jardim itu sabara","2"
"sp","guarulhos","jardim sao paulo","2"
"rj","niteroi","matapaca","2"
"sp","sao bernardo do campo","jardim yraja","2"
"mg","belo horizonte","vila jardim leblon","2"
"sp","sao paulo","fazenda da juta","2"
"rs","sao leopoldo","fazenda sao borja","2"
"sp","campinas","dic vi conjunto habitacional santo dias silva","2"
"sp","campinas","vila pompeia ","2"
"rj","rio de janeiro","sampaio","2"
"sp","sao paulo","se","2"
"mg","belo horizonte","santa rosa","2"
"sp","sao paulo","vila verde","2"
"sp","guarulhos","cidade martins","2"
"sp","campinas","jardim amazonas","2"
"mg","belo horizonte","bonsucesso","2"
"sp","guarulhos","jardim sao luis","2"
"sp","sao paulo","vila guarani zona sul","2"
"rs","contagem","oitis","2"
"rj","sao goncalo","venda da cruz","2"
"sp","novo hamburgo","jardim maua","2"
"rs","porto alegre","sao sebastiao","2"
"sp","guarulhos","vila sao rafael","2"
"mg","belo horizonte","aeroporto","2"
"sp","campinas","vila rossi","2"
"sp","guarulhos","parque santo antonio","2"
"sp","sao paulo","parque fongaro","2"
"mg","belo horizonte","mantiqueira","2"
"sp","sao paulo","chacara itaim","2"
