"estado","cidade","regiao","total_imoveis"
"rs","sao leopoldo","vicentina","10"
"rs","porto alegre","praia de belas","10"
"sp","guarulhos","jardim adriana","10"
"sp","sao paulo","vila bela","10"
"sp","campinas","vila itapura","10"
"rj","rio de janeiro","anil","10"
"sp","campinas","vila industrial campinas","10"
"rs","porto alegre","campo novo","10"
"sp","sao bernardo do campo","bairro dos casa","10"
"sp","sao bernardo do campo","dos casa","10"
"sp","campinas","jardim do lago continuacao","10"
"mg","belo horizonte","nova cachoeirinha","10"
"rs","porto alegre","medianeira","10"
"rj","niteroi","engenho do mato","10"
"sp","campinas","jardim campos eliseos","10"
"sp","novo hamburgo","ouro branco","10"
"sp","campinas","parque fazendinha","10"
"rs","porto alegre","rubem berta","10"
"rs","contagem","chacaras reunidas santa terezinha","10"
"rs","belo horizonte","santa maria","9"
"rs","canoas","bairro fatima","9"
"rs","contagem","amazonas","9"
"sp","campinas","jardim capivari","8"
"mg","belo horizonte","santo antonio","8"
"sp","osasco","continental","8"
"sp","campinas","vila mimosa","8"
"rs","contagem","riacho das pedras","8"
"sp","sao paulo","vila clementino","8"
"mg","belo horizonte","grajau","8"
"rs","porto alegre","jardim itu","8"
"mg","belo horizonte","paqueta","8"
"rj","rio de janeiro","madureira","8"
"sp","sao bernardo do campo","montanhao","8"
"mg","belo horizonte","ipiranga","8"
"sp","sao bernardo do campo","pauliceia","8"
"sp","osasco","presidente altino","8"
"rs","contagem","santa cruz industrial","8"
"mg","belo horizonte","lagoinha","8"
"sp","campinas","jardim flamboyant","8"
"sp","campinas","jardim pauliceia","8"
"sp","sao paulo","sacoma","8"
"sp","sao paulo","liberdade","8"
"rj","niteroi","pendotiba","8"
"sp","sao bernardo do campo","cooperativa","8"
"sp","osasco","bussocaba","8"
"sp","sao bernardo do campo","vila goncalves","8"
"rs","porto alegre","cidade baixa","8"
"mg","belo horizonte","piratininga","8"
"rs","belo horizonte","madre gertrudes","8"
"rj","rio de janeiro","lins de vasconcelos","8"
"sp","novo hamburgo","guarani","8"
"rs","porto alegre","jardim do salso","8"
"rj","rio de janeiro","quintino bocaiuva","8"
"rs","sao leopoldo","duque de caxias","8"
"sp","sao paulo","parque da mooca","8"
"rj","rio de janeiro","cascadura","8"
"sp","guarulhos","vila florida","8"
"sp","campinas","vila industrial","8"
"sp","guarulhos","picanco","8"
"rs","contagem","arvoredo ii","8"
"rs","contagem","jk","8"
"rs","sao leopoldo","fiao","8"
"sp","osasco","metalurgicos","8"
"sp","campinas","ponte preta","8"
"sp","sao paulo","vila silvia","8"
"sp","osasco","jardim d’abril","8"
"sp","campinas","vila maria eugenia","8"
"sp","campinas","vila marieta","8"
"sp","guarulhos","jardim bela vista","8"
"sp","campinas","jardim ipaussurama","8"
"rj","rio de janeiro","engenho de dentro","8"
"sp","sao bernardo do campo","vila euclides","8"
"sp","sao paulo","vila olimpia","7"
"sp","sao bernardo do campo","parque terra nova","6"
"sp","sao paulo","cidade antonio estevao de carvalho","6"
"sp","campinas","loteamento country ville","6"
"rs","belo horizonte","santa terezinha","6"
"rj","rio de janeiro","vila isabel","6"
"rj","rio de janeiro","curicica","6"
"rs","porto alegre","jardim dona leopoldina","6"
"mg","belo horizonte","santa amelia","6"
"rj","niteroi","cubango","6"
"sp","campinas","jardim anchieta","6"
"mg","belo horizonte","vila cloris","6"
"rs","contagem","nacional","6"
"sp","campinas","sao bernardo","6"
"sp","guarulhos","jardim santa mena","6"
"sp","guarulhos","jardim paraventi","6"
"sp","guarulhos","jardim zaira","6"
"sp","osasco","pestana","6"
"sp","sao paulo","conjunto residencial jose bonifacio","6"
"sp","sao bernardo do campo","rudge ramos","6"
"mg","belo horizonte","jardim america","6"
"sp","novo hamburgo","industrial","6"
"sp","guarulhos","vila camargos","6"
"sp","guarulhos","jardim santa clara","6"
"sp","sao bernardo do campo","jardim das acacias","6"
"sp","sao paulo","itaquera","6"
"rs","porto alegre","coronel aparicio borges","6"
"sp","sao paulo","vila carrao","6"
"mg","belo horizonte","ouro preto","6"
"sp","osasco","piratininga","6"
"sp","campinas","vila joao jorge","6"
"rj","niteroi","serra grande","6"
"mg","belo horizonte","bandeirantes pampulha","6"
"sp","sao paulo","campo belo","6"
"mg","belo horizonte","santa monica","6"
"rs","belo horizonte","darcy vargas","6"
"sp","campinas","jardim ipiranga","6"
"rs","contagem","industrial","6"
"rs","porto alegre","espirito santo","6"
"sp","novo hamburgo","maua","6"
"rs","belo horizonte","trevo","6"
"rs","contagem","bernardo monteiro","6"
"mg","belo horizonte","liberdade","6"
"rj","rio de janeiro","grajau","6"
"mg","belo horizonte","buritis","6"
"sp","sao bernardo do campo","vila santa rita de cassia","6"
"sp","campinas","mansoes santo antonio","6"
"sp","sao bernardo do campo","cidade miramar","6"
"mg","belo horizonte","caicaras","6"
"rs","porto alegre","bom jesus","6"
"rs","contagem","sapucaias","6"
"sp","sao bernardo do campo","vila euro","6"
"sp","guarulhos","vila nossa senhora de fatima","6"
"sp","sao bernardo do campo","jardim do mar","6"
"sp","osasco","vila nova conceicao","6"
"sp","sao paulo","vila monumento","6"
"sp","sao paulo","mirandopolis","6"
"rs","porto alegre","sarandi","6"
"sp","campinas","taquaral","6"
"sp","novo hamburgo","primavera","6"
"sp","campinas","jardim garcia","6"
"mg","belo horizonte","santa cruz","6"
"rj","rio de janeiro","meier","6"
