"regiao","tipo","num_anuncios","preco_medio"
"santo afonso","apartamento","40","190599.50"
"santo afonso","casa","24","255400.00"
"santo agostinho","apartamento","2","696000.00"
"santo andre","apartamento","22","206809.09"
"santo andre","casa","8","335000.00"
"santo antonio","apartamento","28","347142.86"
"santo antonio","casa","10","417287.00"
"santos dumont","apartamento","58","170000.00"
"santos dumont","casa","38","200157.89"
"santos dumontt","apartamento","2","175000.00"
"sao bernardo","apartamento","6","340000.00"
"sao cristovao","studio","2","150000.00"
"sao cristovao ","apartamento","2","220000.00"
"sao francisco","apartamento","4","652000.00"
"sao francisco","casa","8","872500.00"
"sao francisco xavier","apartamento","2","205000.00"
"sao geraldo","apartamento","2","470000.00"
"sao joao","apartamento","2","245000.00"
"sao joao batista","apartamento","4","262500.00"
"sao joao batista","casa","2","280000.00"
"sao joao batista venda nova","apartamento","2","220000.00"
"sao joao climaco","apartamento","2","330000.00"
"sao jorge","apartamento","18","255111.11"
"sao jorge","casa","4","465000.00"
"sao jose","apartamento","42","216619.05"
"sao jose","casa","26","425384.62"
"sao lourenco","apartamento","2","295000.00"
"sao lucas","casa","2","579000.00"
"sao luis","apartamento","2","260000.00"
"sao luis","casa","2","277000.00"
"sao miguel","apartamento","41","170975.61"
"sao pedro","apartamento","49","290510.20"
"sao pedro","casa","4","240000.00"
"sao salvador","apartamento","4","270000.00"
"sao salvador","casa","4","220000.00"
"sao sebastiao","apartamento","6","305000.00"
"sape","casa","2","500000.00"
"sapucaias","apartamento","6","170000.00"
"sapucaias i","apartamento","4","160000.00"
" sapucaias iii ","apartamento","2","165000.00"
"sapucaias iii","apartamento","2","220000.00"
"sapucaias iii","casa","2","319000.00"
"sarandi","apartamento","4","220000.00"
"sarandi","casa","2","195000.00"
"saude","apartamento","2","205000.00"
"saude","studio","2","345000.00"
"scharlau","apartamento","18","258888.89"
"scharlau","casa","28","432392.86"
"se","apartamento","2","265000.00"
"serra","apartamento","14","748142.86"
"serra grande","casa","6","486666.67"
"serrano","apartamento","16","314537.50"
"serrano","casa","4","658000.00"
"serra verde","casa","2","200000.00"
"silveira","apartamento","2","390000.00"
"sion","apartamento","4","660000.00"
"sitio da figueira","apartamento","2","360000.00"
"sta cruz ind","apartamento","2","650000.00"
"suico","apartamento","2","270000.00"
"taboao","apartamento","4","220000.00"
"tanque","apartamento","14","254571.43"
"tanque","casa","8","275000.00"
"taquara","apartamento","114","228257.65"
"taquara","casa","40","390015.70"
"taquara jacarepagua","apartamento","2","310000.00"
"taquaral","apartamento","6","579999.67"
"tatuape","apartamento","3","505333.33"
"tenente jardim","apartamento","2","180000.00"
"tenente jardim","casa","2","400000.00"
"teresopolis","apartamento","37","310297.30"
"teresopolis","casa","4","545000.00"
"tijuca","apartamento","4","590000.00"
"tijuca","casa","2","880000.00"
"tijuco","casa","2","799000.00"
"todos os santos","apartamento","2","180000.00"
"tres barras","apartamento","7","282857.14"
"tres barras","casa","4","585000.00"
"trevo","casa","10","276000.00"
"tristeza","apartamento","8","226750.00"
"tristeza","casa","4","694500.00"
"tropical","apartamento","2","295000.00"
"tropical","casa","2","250000.00"
"umuarama","apartamento","18","517788.78"
"umuarama","casa","4","977500.00"
"uniao","apartamento","4","479500.00"
"urca","apartamento","4","220000.00"
"vargem grande","apartamento","2","229000.00"
"vargem grande","casa","10","357800.00"
" vargem pequena","apartamento","2","165000.00"
"vargem pequena","apartamento","2","205000.00"
"vargem pequena","casa","4","432500.00"
"veloso","apartamento","14","224285.71"
"veloso","casa","4","307500.00"
"venda da cruz","apartamento","4","227500.00"
"venda nova","apartamento","2","250000.00"
"vera cruz","apartamento","2","220000.00"
"vicentina","apartamento","2","135000.00"
"vicentina","casa","8","167500.00"
"vila agua funda","apartamento","2","335000.00"
"vila alcantara","casa","2","275000.00"
"vila alpina","apartamento","4","315000.00"
"vila alves dias","apartamento","2","290000.00"
"vila alves dias","casa","10","488431.40"
"vila alvinopolis","casa","2","760000.00"
"vila andrade","apartamento","4","1202500.00"
"vila arapua","apartamento","2","290000.00"
"vila assuncao","apartamento","2","360000.00"
"vila assuncao","casa","2","210000.00"
"vila augusta","apartamento","22","671000.00"
"vila augusta","casa","4","625000.00"
"vila barros","apartamento","11","439909.09"
"vila barros","casa","4","682500.00"
"vila bela","apartamento","6","363333.33"
"vila bela","casa","4","370000.00"
"vila belem","apartamento","2","145000.00"
"vila belem","casa","2","365000.00"
"vila beneves","casa","4","890000.00"
"vila brandina","apartamento","2","650000.00"
"vila bremen","apartamento","4","274000.00"
"vila camargos","apartamento","4","547500.00"
"vila camargos","studio","2","420000.00"
"vila caminho do mar","apartamento","2","275000.00"
"vila campesina","apartamento","2","388976.00"
"vila campestre","apartamento","4","339000.00"
"vila campos sales","apartamento","4","220000.00"
"vila carioca","casa","2","700000.00"
"vila carrao","casa","6","489666.67"
"vila clementino","apartamento","4","421350.00"
"vila clementino","studio","4","387500.00"
"vila cloris","apartamento","2","190000.00"
"vila cloris","casa","4","192500.00"
"vila conceicao","casa","4","452500.00"
"vila copacabana","casa","2","390000.00"
"vila cruzeiro","casa","2","270000.00"
"vila da penha","apartamento","2","310000.00"
"vila da penha","casa","2","170000.00"
"vila da saude","apartamento","12","552666.67"
"vila das merces","casa","2","395000.00"
"vila das palmeiras","apartamento","2","365000.00"
"vila das palmeiras","casa","2","390000.00"
"vila dom pedro i","apartamento","2","760000.00"
"vila dusi","apartamento","2","435000.00"
"vila dutra","casa","2","295000.00"
"vila ema","apartamento","2","560000.00"
"vila ester","casa","2","280000.00"
"vila euclides","apartamento","6","401666.67"
"vila euclides","casa","2","410000.00"
"vila euro","apartamento","6","361666.67"
"vila faustina ii","apartamento","2","320000.00"
"vila ferreira","apartamento","4","200000.00"
"vila florida","apartamento","6","256666.67"
"vila florida","casa","2","700000.00"
"vila galvao","apartamento","8","767500.00"
"vila galvao","casa","4","389500.00"
"vila georgina","apartamento","2","240000.00"
"vila gomes cardim","apartamento","2","370000.00"
"vila goncalves","apartamento","6","292666.67"
"vila goncalves","casa","2","495000.00"
"vila guarani zona sul","apartamento","2","465000.00"
"vila guararapes","apartamento","2","340000.00"
"vila imaculada","apartamento","4","260000.00"
"vila independencia","apartamento","4","330000.00"
"vila industrial","apartamento","8","350000.00"
"vila industrial campinas","apartamento","10","295000.00"
"vila invernada","casa","2","430000.00"
"vila ipiranga","apartamento","2","430000.00"
"vila isabel","apartamento","6","363333.33"
"vila italia","apartamento","2","170000.00"
"vila itapura","apartamento","10","502000.00"
"vila ivone","apartamento","4","277500.00"
"vila jardim","apartamento","2","150000.00"
"vila jardim leblon","casa","2","285000.00"
"vila jerusalem","apartamento","6","271666.67"
"vila joao jorge","apartamento","6","335000.00"
"vila joao pessoa","apartamento","2","182500.00"
"vila joaquim inacio","apartamento","2","180000.00"
"vila jordanopolis","casa","2","418700.00"
"vila jupiter","casa","2","450000.00"
"vila lanzara","apartamento","2","806180.00"
"vila lemos","apartamento","2","250000.00"
"vila leonor","apartamento","2","298000.00"
"vila lidia","apartamento","4","175000.00"
"vila liviero","apartamento","4","235000.00"
"vila luiz casa","casa","2","390000.00"
"vila lusitania","apartamento","4","915000.00"
"vila magnesita","apartamento","4","172500.00"
"vila maria eugenia","apartamento","2","285000.00"
"vila maria eugenia","casa","6","371666.67"
"vila mariana","apartamento","26","943584.62"
"vila mariana","casa","2","700000.00"
"vila mariana","studio","12","453316.67"
"vila maricy","apartamento","2","245000.00"
"vila marieta","apartamento","6","327666.67"
"vila marieta","casa","2","470000.00"
"vila medeiros","casa","2","270000.00"
"vila milton","apartamento","2","320000.00"
"vila mimosa","apartamento","8","221000.00"
"vila miriam","apartamento","2","350000.00"
"vila moinho velho","apartamento","2","300000.00"
"vila monumento","apartamento","4","839000.00"
"vila monumento","casa","2","679000.00"
"vila moraes","apartamento","2","350000.00"
"vila moreira","apartamento","4","717500.00"
"vila nossa senhora de fatima","apartamento","4","311000.00"
"vila nossa senhora de fatima","casa","2","499000.00"
"vila nova","apartamento","42","245323.81"
"vila nova","casa","24","429333.33"
"vila nova conceicao","apartamento","8","749750.00"
"vila nova mazzei","casa","2","640000.00"
"vila olga","apartamento","2","290000.00"
"vila olimpia","apartamento","5","2250000.00"
"vila olimpia","studio","2","759000.00"
"vila oratorio","apartamento","2","425000.00"
"vila osasco","apartamento","48","567497.88"
"vila osasco","casa","2","710000.00"
"vila padre manoel de nobrega","apartamento","2","175000.00"
"vila panama","casa","4","256000.00"
"vila paris","apartamento","2","750000.00"
"vila planalto","apartamento","2","300000.00"
"vila planalto","casa","2","385000.00"
"vila pompeia ","casa","2","530000.00"
"vila progresso","apartamento","4","441000.00"
"vila progresso","casa","4","820000.00"
"vila proost de souza","apartamento","2","190000.00"
"vila proost de souza","casa","2","450000.00"
"vila prudente","apartamento","12","281500.00"
"vila prudente","studio","2","260000.00"
"vila re","casa","2","200000.00"
"vila regente feijo","apartamento","2","800000.00"
"vila regina","apartamento","2","210000.00"
"vila rica","casa","2","255000.00"
"vila rio","apartamento","2","250000.00"
"vila rio de janeiro","apartamento","4","222500.00"
"vila rosa","apartamento","23","350686.96"
"vila rosa","casa","2","355000.00"
"vila rosalia","apartamento","14","461428.57"
"vila rosalia","casa","4","465000.00"
"vila rossi","apartamento","2","554000.00"
"vila rossi borghi e siqueira","apartamento","2","385000.00"
"vila santa cassia","apartamento","2","445000.00"
"vila santa clara","apartamento","2","293000.00"
"vila santa clara","casa","2","618000.00"
"vila santa maria","casa","2","530000.00"
"vila santana","apartamento","2","239500.00"
"vila santa rita de cassia","apartamento","6","315000.00"
"vila santo antonio","apartamento","4","634500.00"
"vila sao joao batista","casa","6","516666.67"
"vila sao jose","apartamento","2","170000.00"
"vila sao rafael","apartamento","2","240000.00"
"vila sao silverio","casa","2","400000.00"
"vila saturnia","apartamento","2","335000.00"
"vila silveira","apartamento","2","310000.00"
"vila silvia","apartamento","8","193750.00"
"vila sonia","apartamento","2","435000.00"
"vila teresa","casa","2","250000.00"
"vila tereza","casa","2","745000.00"
"vila tijuco","apartamento","4","371157.50"
"vila trinta e um de marco","apartamento","2","240000.00"
"vila venditti","apartamento","4","327500.00"
"vila verde","casa","2","300000.00"
"vila vermelha","apartamento","4","565000.00"
"vila yolanda","apartamento","12","300000.00"
"vila yolanda","casa","6","619666.67"
"vila zamataro","apartamento","4","250000.00"
"vila zanardi","apartamento","4","355000.00"
"vila zelina","casa","2","550000.00"
"vital brasil","apartamento","4","655000.00"
"v p manoel nobrega","apartamento","2","150000.00"
"xangri-la","casa","2","290000.00"
