"regiao","tipo","num_anuncios","preco_medio"
"conjunto residencial pombeva","apartamento","2","365000.00"
"conjunto residencial pombeva","casa","2","495000.00"
"conjunto residencial souza queiroz","apartamento","16","201625.00"
"consolacao","apartamento","2","800000.00"
"consolacao","studio","2","499000.00"
"continental","apartamento","8","640250.00"
"cooperativa","apartamento","8","188000.00"
"copacabana","apartamento","4","187500.00"
"coqueiros","apartamento","2","335000.00"
"coqueiros","casa","4","580000.00"
"coracao eucaristico","apartamento","4","427500.00"
"coronel aparicio borges","casa","6","219666.67"
"costa e silva","casa","2","205000.00"
"cristal","apartamento","52","238173.08"
"cristal","casa","4","510000.00"
"cristo rei","apartamento","2","345000.00"
"cristo rei","studio","2","150000.00"
"cruzeiro","apartamento","4","482500.00"
"cubango","apartamento","6","318333.33"
"curicica","apartamento","4","195000.00"
"curicica","casa","2","165000.00"
"darcy vargas","apartamento","4","290000.00"
"darcy vargas","casa","6","226666.67"
"demarchi","apartamento","22","278690.91"
"demarchi","casa","2","400000.00"
"diamante","casa","2","250000.00"
"dic vi conjunto habitacional santo dias silva","casa","2","230000.00"
"dona clara","apartamento","2","500000.00"
"dos casa","apartamento","6","250000.00"
"dos casa","casa","4","340000.00"
"duque de caxias","apartamento","6","175666.67"
"duque de caxias","casa","2","244500.00"
"eldorado","apartamento","24","408166.67"
"eldorado","casa","12","343166.67"
"empresarial do mandu","apartamento","2","240000.00"
"engenhoca","apartamento","16","239875.00"
"engenhoca","casa","4","280000.00"
"engenho da rainha","apartamento","4","197500.00"
"engenho de dentro","apartamento","8","219225.00"
"engenho do mato","casa","10","620200.00"
"engenho nogueira","apartamento","4","277499.50"
"engenho novo","apartamento","10","192000.00"
"engenho novo","casa","2","150000.00"
"espirito santo","casa","6","518333.33"
"estancia velha","apartamento","33","234424.24"
"estancia velha","casa","14","418428.57"
"estrela do oriente","apartamento","2","270000.00"
"europa","apartamento","12","318666.67"
"europa","casa","8","658250.00"
"farroupilha","apartamento","4","229050.00"
"fatima","apartamento","26","224553.08"
"fatima","casa","2","990000.00"
"fazenda da juta","apartamento","2","210000.00"
"fazenda morumbi","apartamento","2","450000.00"
"fazenda sao borja","casa","2","240000.00"
"feitoria","apartamento","15","175066.67"
"feitoria","casa","38","268789.42"
"feitoria seller","casa","2","325000.00"
"fernao dias","apartamento","2","280000.00"
"ferrazopolis","apartamento","22","245090.91"
"ferrazopolis","casa","6","339095.33"
"fiao","apartamento","6","234000.00"
"fiao","casa","2","780000.00"
"flamengo","apartamento","4","266000.00"
"floresta","apartamento","6","267333.33"
"fonseca","apartamento","212","253947.17"
"fonseca","casa","64","493195.50"
"fonte grande","apartamento","14","248285.71"
"fonte grande","casa","2","400000.00"
"freguesia jacarepagua","apartamento","26","248846.15"
"freguesia jacarepagua","casa","10","407000.00"
"funcionarios","apartamento","12","558333.33"
"fundacao da casa popular","apartamento","4","300000.00"
