,Unnamed: 0,Preco,Num Quartos,Num Banheiros,Num Vagas,Tamanho,Tipo,Cidade,Regiao,Itens Disponivels,Itens Indisponíveis,Data Completa,Dia,Mes,Ano,Dia da Semana,Dia da Semana Extenso,Semana do Ano,Quarter,Estado
1509,1509,170.000,2.0,1.0,1.0,51.0,Apartamento,Niterói,Fonseca,"['Box', 'Armários nos banheiros', 'Armários na cozinha', 'Quartos e corredores com portas amplas', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno']",Data inválida,,,,,,,None,RJ
1510,1510,359.000,2.0,1.0,1.0,60.0,Apartamento,Niterói,Barreto,"['Box', 'Varanda', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Chuveiro a gás', 'Closet', 'Cozinha americana', 'Quartos e corredores com portas amplas', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno']",16/01/2025,16.0,1.0,2025.0,3.0,Quinta-feira,3.0,Q1,RJ
1511,1511,416.000,3.0,3.0,2.0,142.0,Casa,Niterói,Fonseca,"['Varanda', 'Piscina privativa', 'Armários nos banheiros', 'Armários na cozinha', 'Área de serviço']","['Banheira de hidromassagem', 'Box', 'Armários no quarto', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno']",Data inválida,,,,,,,None,RJ
1512,1512,140.000,2.0,1.0,1.0,60.0,Apartamento,Niterói,Fonseca,"['Box', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno']",Data inválida,,,,,,,None,RJ
1513,1513,250.000,3.0,1.0,0.0,65.0,Casa,Niterói,Maria Paula,"['Varanda', 'Quintal', 'Área de serviço']","['Banheira de hidromassagem', 'Box', 'Piscina privativa', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Somente uma casa no terreno', 'Garden/Área Privativa']",16/05/2024,16.0,5.0,2024.0,3.0,Quinta-feira,20.0,Q2,RJ
1514,1514,425.000,3.0,2.0,1.0,73.0,Apartamento,Niterói,Barreto,"['Box', 'Varanda', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Chuveiro a gás', 'Cozinha americana', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno']",16/11/2024,16.0,11.0,2024.0,5.0,Sábado,46.0,Q4,RJ
1515,1515,150.000,2.0,1.0,1.0,50.0,Apartamento,Niterói,Fonseca,"['Box', 'Armários nos banheiros', 'Armários na cozinha', 'Quartos e corredores com portas amplas', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",16/10/2024,16.0,10.0,2024.0,2.0,Quarta-feira,42.0,Q4,RJ
1516,1516,290.000,2.0,1.0,0.0,86.0,Casa,Niterói,Fonseca,"['Box', 'Armários na cozinha']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Armários nos banheiros', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Área de serviço']",16/11/2024,16.0,11.0,2024.0,5.0,Sábado,46.0,Q4,RJ
1517,1517,515.000,4.0,4.0,2.0,180.0,Casa,Niterói,Maria Paula,"['Box', 'Varanda', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office']",Data inválida,,,,,,,None,RJ
1518,1518,235.000,2.0,1.0,1.0,69.0,Apartamento,Niterói,Fonseca,"['Box', 'Armários nos banheiros', 'Armários na cozinha', 'Chuveiro a gás', 'Somente uma casa no terreno', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Ar condicionado', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Garden/Área Privativa']",18/01/2025,18.0,1.0,2025.0,5.0,Sábado,3.0,Q1,RJ
1519,1519,195.000,2.0,1.0,1.0,60.0,Apartamento,Niterói,Barreto,,,Data inválida,,,,,,,None,RJ
1520,1520,185.000,2.0,1.0,1.0,70.0,Apartamento,Niterói,Fonseca,['Área de serviço'],"['Banheira de hidromassagem', 'Box', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno']",Data inválida,,,,,,,None,RJ
1521,1521,340.000,2.0,1.0,1.0,65.0,Apartamento,Niterói,Barreto,"['Box', 'Varanda', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Cozinha americana', 'Quartos e corredores com portas amplas', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Armários no quarto', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",16/07/2024,16.0,7.0,2024.0,1.0,Terça-feira,29.0,Q3,RJ
1522,1522,700.000,4.0,4.0,2.0,80.0,Casa,Niterói,Fonseca,"['Box', 'Varanda', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Quintal', 'Somente uma casa no terreno', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Garden/Área Privativa']",31/01/2025,31.0,1.0,2025.0,4.0,Sexta-feira,5.0,Q1,RJ
1523,1523,200.000,2.0,1.0,1.0,58.0,Apartamento,Niterói,Fonseca,"['Box', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Chuveiro a gás', 'Fogão incluso', 'Cozinha americana', 'Quartos e corredores com portas amplas', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Apartamento cobertura', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",16/07/2024,16.0,7.0,2024.0,1.0,Terça-feira,29.0,Q3,RJ
1524,1524,360.000,2.0,1.0,1.0,57.0,Apartamento,Niterói,Barreto,"['Box', 'Varanda', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Cozinha americana', 'Quartos e corredores com portas amplas', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",26/01/2025,26.0,1.0,2025.0,6.0,Domingo,4.0,Q1,RJ
