,preco,num_quartos,num_banheiros,num_vagas,tamanho,tipo,cidade,regiao,itens_disponiveis,itens_indisponiveis,data_completa,dia,mes,ano,dia_da_semana,dia_da_semana_extenso,semana_do_ano,quarter,estado
11,659000,3.0,2.0,2.0,116.0,apartamento,belo horizonte,alto caicaras,"['box', 'armarios no quarto', 'armarios na cozinha', 'cozinha americana', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'armarios nos banheiros', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",18/02/2025,18.0,2.0,2025.0,1.0,terca-feira,8.0,q1,mg
12,550000,3.0,3.0,2.0,170.0,apartamento,belo horizonte,concordia,"['box', 'varanda', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'apartamento cobertura', 'quartos e corredores com portas amplas', 'area de servico', 'garden/area privativa']","['banheira de hidromassagem', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno']",15/02/2025,15.0,2.0,2025.0,5.0,sabado,7.0,q1,mg
13,310000,2.0,1.0,1.0,110.0,casa,belo horizonte,palmares,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'cozinha americana', 'area de servico', 'garden/area privativa']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'quintal', 'somente uma casa no terreno']",08/02/2025,8.0,2.0,2025.0,5.0,sabado,6.0,q1,mg
14,490000,2.0,1.0,1.0,69.0,apartamento,belo horizonte,sion,"['box', 'varanda', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'cozinha americana', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",17/02/2025,17.0,2.0,2025.0,0.0,segunda-feira,8.0,q1,mg
15,500000,2.0,1.0,1.0,70.0,apartamento,belo horizonte,cidade jardim,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",18/02/2025,18.0,2.0,2025.0,1.0,terca-feira,8.0,q1,mg
16,320000,2.0,2.0,1.0,70.0,apartamento,belo horizonte,sao sebastiao,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'fogao incluso', 'geladeira inclusa', 'cozinha americana', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'banheiro adaptado', 'closet', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",14/02/2025,14.0,2.0,2025.0,4.0,sexta-feira,7.0,q1,mg
17,820000,2.0,2.0,3.0,72.0,apartamento,belo horizonte,luxemburgo,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'cozinha americana', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",14/02/2025,14.0,2.0,2025.0,4.0,sexta-feira,7.0,q1,mg
18,670000,3.0,3.0,1.0,110.0,apartamento,belo horizonte,cidade nova,"['box', 'armarios nos banheiros', 'armarios na cozinha', 'fogao incluso', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'armarios no quarto', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",17/02/2025,17.0,2.0,2025.0,0.0,segunda-feira,8.0,q1,mg
19,200000,2.0,1.0,0.0,100.0,casa,belo horizonte,nova cintra,"['box', 'varanda', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'piscina privativa', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",19/01/2025,19.0,1.0,2025.0,6.0,domingo,3.0,q1,mg
20,490000,2.0,2.0,2.0,57.0,apartamento,belo horizonte,palmeiras,"['box', 'varanda', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'cozinha americana', 'area de servico']","['banheira de hidromassagem', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",29/01/2025,29.0,1.0,2025.0,2.0,quarta-feira,5.0,q1,mg
21,830000,3.0,3.0,2.0,100.0,apartamento,belo horizonte,sion,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'ar condicionado', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",18/02/2025,18.0,2.0,2025.0,1.0,terca-feira,8.0,q1,mg
22,322000,2.0,2.0,1.0,70.0,apartamento,belo horizonte,serra,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",11/02/2025,11.0,2.0,2025.0,1.0,terca-feira,7.0,q1,mg
23,439000,3.0,2.0,1.0,78.0,apartamento,belo horizonte,paqueta,"['box', 'armarios nos banheiros', 'armarios na cozinha', 'area de servico', 'garden/area privativa']","['armarios no quarto', 'apartamento cobertura']",14/02/2025,14.0,2.0,2025.0,4.0,sexta-feira,7.0,q1,mg
24,200000,2.0,2.0,1.0,60.0,casa,belo horizonte,serra verde,"['cozinha americana', 'area de servico']","['banheira de hidromassagem', 'box', 'varanda', 'piscina privativa', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",24/01/2025,24.0,1.0,2025.0,4.0,sexta-feira,4.0,q1,mg
25,440000,3.0,2.0,2.0,70.0,apartamento,belo horizonte,conj. california,"['cozinha americana', 'area de servico']","['banheira de hidromassagem', 'box', 'varanda', 'piscina privativa', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",19/01/2025,19.0,1.0,2025.0,6.0,domingo,3.0,q1,mg
26,425000,2.0,2.0,1.0,60.0,apartamento,belo horizonte,buritis,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",14/02/2025,14.0,2.0,2025.0,4.0,sexta-feira,7.0,q1,mg
27,290000,2.0,1.0,2.0,54.0,apartamento,belo horizonte,aparecida,"['box', 'armarios na cozinha']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'armarios no quarto', 'armarios nos banheiros', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa']",19/09/2024,19.0,9.0,2024.0,3.0,quinta-feira,38.0,q3,mg
28,380000,2.0,2.0,2.0,70.0,apartamento,belo horizonte,nova esperanca,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'cozinha americana', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",06/02/2025,6.0,2.0,2025.0,3.0,quinta-feira,6.0,q1,mg
29,180000,1.0,1.0,0.0,44.0,apartamento,belo horizonte,centro,"['armarios no quarto', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'box', 'varanda', 'piscina privativa', 'armarios nos banheiros', 'armarios na cozinha', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",22/01/2025,22.0,1.0,2025.0,2.0,quarta-feira,4.0,q1,mg
30,150000,4.0,2.0,1.0,45.0,casa,belo horizonte,trevo,"['quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'box', 'varanda', 'piscina privativa', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",18/02/2025,18.0,2.0,2025.0,1.0,terca-feira,8.0,q1,mg
31,450000,3.0,2.0,1.0,100.0,apartamento,belo horizonte,alto caicaras,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'fogao incluso', 'geladeira inclusa', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'garden/area privativa']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'banheiro adaptado', 'closet', 'cozinha americana', 'quintal', 'somente uma casa no terreno', 'area de servico']",09/02/2025,9.0,2.0,2025.0,6.0,domingo,6.0,q1,mg
32,180000,3.0,1.0,0.0,69.0,apartamento,belo horizonte,centro,['area de servico'],"['banheira de hidromassagem', 'box', 'varanda', 'armarios no quarto', 'armarios na cozinha', 'ar condicionado', 'apartamento cobertura', 'cozinha americana']",19/01/2025,19.0,1.0,2025.0,6.0,domingo,3.0,q1,mg
33,250000,2.0,1.0,1.0,50.0,apartamento,belo horizonte,venda nova,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",13/02/2025,13.0,2.0,2025.0,3.0,quinta-feira,7.0,q1,mg
34,360000,2.0,1.0,0.0,109.0,apartamento,belo horizonte,barro preto,"['box', 'armarios no quarto', 'banheiro adaptado', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'armarios nos banheiros', 'armarios na cozinha', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",24/01/2025,24.0,1.0,2025.0,4.0,sexta-feira,4.0,q1,mg
35,300000,2.0,2.0,0.0,80.0,apartamento,belo horizonte,centro,"['armarios no quarto', 'armarios na cozinha', 'area de servico']","['banheira de hidromassagem', 'box', 'varanda', 'ar condicionado', 'apartamento cobertura', 'cozinha americana']",07/02/2025,7.0,2.0,2025.0,4.0,sexta-feira,6.0,q1,mg
36,262000,2.0,1.0,1.0,50.0,apartamento,belo horizonte,madre gertrudes,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'fogao incluso', 'geladeira inclusa', 'area de servico', 'garden/area privativa']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'quintal', 'somente uma casa no terreno']",19/01/2025,19.0,1.0,2025.0,6.0,domingo,3.0,q1,mg
37,180000,2.0,1.0,1.0,56.0,apartamento,belo horizonte,parque copacabana,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",19/01/2025,19.0,1.0,2025.0,6.0,domingo,3.0,q1,mg
